id,pair,threshold_price,threshold_type,direction,volume,trailing_offset_percent,enabled
btc_usd_above_1,XXBTZUSD,109948.43,above,sell,0.0010,1.00,true
btc_usd_below_2,XXBTZUSD,109882.62,below,buy,0.0010,1.00,true
eth_usd_above_3,XETHZUSD,3861.86,above,sell,0.0100,1.00,true
eth_usd_below_4,XETHZUSD,3858.15,below,buy,0.0100,1.00,true
sol_usd_above_5,SOLUSD,190.6675,above,sell,0.1000,1.00,true
sol_usd_below_6,SOLUSD,190.4606,below,buy,0.1000,1.00,true
ltc_usd_above_7,XLTCZUSD,93.8162,above,sell,0.1000,1.00,true
ltc_usd_below_8,XLTCZUSD,93.7363,below,buy,0.1000,1.00,true
xrp_usd_above_9,XXRPZUSD,2.400098,above,sell,0.1000,1.00,true
xrp_usd_below_10,XXRPZUSD,2.398108,below,buy,0.1000,1.00,true
xmr_usd_above_11,XXMRZUSD,324.1983,above,sell,0.1000,1.00,true
xmr_usd_below_12,XXMRZUSD,323.6950,below,buy,0.1000,1.00,true
aave_usd_above_13,AAVEUSD,223.7625,above,sell,0.1000,1.00,true
aave_usd_below_14,AAVEUSD,223.5299,below,buy,0.1000,1.00,true
atom_usd_above_15,ATOMUSD,3.190432,above,sell,0.1000,1.00,true
atom_usd_below_16,ATOMUSD,3.187821,below,buy,0.1000,1.00,true
comp_usd_above_17,COMPUSD,37.0068,above,sell,0.1000,1.00,true
comp_usd_below_18,COMPUSD,36.9752,below,buy,0.1000,1.00,true
dydx_usd_above_19,DYDXUSD,0.319198,above,sell,0.1000,1.00,true
dydx_usd_below_20,DYDXUSD,0.318823,below,buy,0.1000,1.00,true
egld_usd_above_21,EGLDUSD,9.694552,above,sell,0.1000,1.00,true
egld_usd_below_22,EGLDUSD,9.684477,below,buy,0.1000,1.00,true
ens_usd_above_23,ENSUSD,15.2479,above,sell,0.1000,1.00,true
ens_usd_below_24,ENSUSD,15.2351,below,buy,0.1000,1.00,true
fil_usd_above_25,FILUSD,1.556427,above,sell,0.1000,1.00,true
fil_usd_below_26,FILUSD,1.554971,below,buy,0.1000,1.00,true
inj_usd_above_27,INJUSD,8.444088,above,sell,0.1000,1.00,true
inj_usd_below_28,INJUSD,8.434081,below,buy,0.1000,1.00,true
near_usd_above_29,NEARUSD,2.197101,above,sell,0.1000,1.00,true
near_usd_below_30,NEARUSD,2.194374,below,buy,0.1000,1.00,true
bonk_usd_above_31,BONKUSD,0.00001443,above,sell,0.1000,1.00,true
bonk_usd_below_32,BONKUSD,0.00001441,below,buy,0.1000,1.00,true
doge_usd_above_33,DOGSUSD,0.00006005,above,sell,0.1000,1.00,true
doge_usd_below_34,DOGSUSD,0.00005992,below,buy,0.1000,1.00,true
meme_usd_above_35,MEMEUSD,0.00163054,above,sell,0.1000,1.00,true
meme_usd_below_36,MEMEUSD,0.00162841,below,buy,0.1000,1.00,true
mew_usd_above_37,MEWUSD,0.00184904,above,sell,0.1000,1.00,true
mew_usd_below_38,MEWUSD,0.00184692,below,buy,0.1000,1.00,true
pepe_usd_above_39,PEPEUSD,0.00000691,above,sell,0.1000,1.00,true
pepe_usd_below_40,PEPEUSD,0.00000690,below,buy,0.1000,1.00,true
ponke_usd_above_41,PONKEUSD,0.060687,above,sell,0.1000,1.00,true
ponke_usd_below_42,PONKEUSD,0.060580,below,buy,0.1000,1.00,true
popcat_usd_above_43,POPCATUSD,0.149413,above,sell,0.1000,1.00,true
popcat_usd_below_44,POPCATUSD,0.149224,below,buy,0.1000,1.00,true
trump_usd_above_45,TRUMPUSD,5.837665,above,sell,0.1000,1.00,true
trump_usd_below_46,TRUMPUSD,5.831673,below,buy,0.1000,1.00,true
ath_usd_above_47,ATHUSD,0.029309,above,sell,0.1000,1.00,true
ath_usd_below_48,ATHUSD,0.029258,below,buy,0.1000,1.00,true
nano_usd_above_49,NANOUSD,0.673911,above,sell,0.1000,1.00,true
nano_usd_below_50,NANOUSD,0.673036,below,buy,0.1000,1.00,true
ray_usd_above_51,RAYUSD,1.767403,above,sell,0.1000,1.00,true
ray_usd_below_52,RAYUSD,1.764971,below,buy,0.1000,1.00,true
render_usd_above_53,RENDERUSD,2.453889,above,sell,0.1000,1.00,true
render_usd_below_54,RENDERUSD,2.450802,below,buy,0.1000,1.00,true
super_usd_above_55,SUPERUSD,0.384525,above,sell,0.1000,1.00,true
super_usd_below_56,SUPERUSD,0.384085,below,buy,0.1000,1.00,true
ton_usd_above_57,TONUSD,2.127482,above,sell,0.1000,1.00,true
ton_usd_below_58,TONUSD,2.125761,below,buy,0.1000,1.00,true
trx_usd_above_59,TRXUSD,0.316866,above,sell,0.1000,1.00,true
trx_usd_below_60,TRXUSD,0.316704,below,buy,0.1000,1.00,true
wal_usd_above_61,WALUSD,0.257765,above,sell,0.1000,1.00,true
wal_usd_below_62,WALUSD,0.256680,below,buy,0.1000,1.00,true
