Pair,Pair_Name,Mean,Median,StdDev,Min,Max,Range,Pct_Mean,Pct_Median,Pct_StdDev,Normal_Distribution,Normality_PValue,Threshold_95_Pct,Threshold_Price_Up,Threshold_Price_Down,Confidence,Data_Points
XXBTZUSD,BTC/USD,109885.44909847435,109922.0,527.527887048419,108780.3,111290.2,2509.899999999994,0.0010567745544526948,0.0,0.05838104555891279,False,9.152204692391905e-27,0.09602827453279685,109990.97019920622,109779.92799774246,low,721
XETHZUSD,ETH/USD,3859.981553398058,3853.2,22.866611299137116,3811.4,3930.69,119.28999999999996,-0.00031038283122376625,0.0,0.09255595984373982,False,1.4908352042928178e-21,0.15224100624495027,3865.858028155821,3854.1050786402957,low,721
SOLUSD,SOL/USD,190.4477253814147,190.59,1.2286780778236155,186.76,193.46,6.700000000000017,0.0026313569622356866,0.0,0.10391919536637095,False,1.8616147841319765e-17,0.1709318654082539,190.77326123103677,190.12218953179266,low,721
XLTCZUSD,LTC/USD,93.74568654646325,93.78,0.3944699065403762,92.65,94.75,2.0999999999999943,0.0010870958991049807,0.0,0.08255934219447054,False,9.983610207434566e-25,0.1357980334473026,93.87299134523501,93.61838174769149,low,721
XXRPZUSD,XRP/USD,2.3989406796116506,2.39899,0.00963624399273319,2.37725,2.42542,0.048169999999999824,6.562083551135983e-05,0.0,0.08000468770308479,False,1.428316736442157e-21,0.13159600074153888,2.402097589606181,2.3957837696171196,low,721
XXMRZUSD,XMR/USD,324.15608876560333,323.04,3.855151742639502,317.41,334.7,17.289999999999964,-0.0033448031000372597,0.0,0.1509055551181842,False,2.26646452595171e-23,0.2482175496632706,324.9607010662216,323.35147646498507,low,721
AAVEUSD,AAVE/USD,223.51148404993066,223.77,2.1374661505008468,218.79,228.23,9.439999999999998,0.0026806149136076787,0.0,0.100277565467643,False,1.549664210001883e-36,0.1649419172613163,223.88014817702182,223.14281992283946,low,721
ATOMUSD,ATOM/USD,3.1882202496532592,3.1882,0.017667276890210457,3.1393,3.2307,0.09140000000000015,0.0010389516137278693,0.0,0.07877828177461363,False,8.435792012017744e-35,0.1295787425019783,3.192351505360953,3.184088993945565,low,721
COMPUSD,COMP/USD,36.97117891816921,36.96,0.1744941017769346,36.67,37.34,0.6700000000000017,0.0022440928110296766,0.0,0.0800954479965054,False,1.9178608346873753e-45,0.13174528813935493,37.019886704363465,36.92247113197495,low,721
DYDXUSD,DYDX/USD,0.31877836338418863,0.319,0.002933906778415972,0.3115,0.326,0.014500000000000013,0.0028186493288156226,0.0,0.1247444538920745,False,2.884127466856595e-46,0.20518636742645943,0.31943245312815816,0.3181242736402191,low,721
EGLDUSD,EGLD/USD,9.685020804438281,9.66,0.09439739203034048,9.48,9.91,0.4299999999999997,0.00177899052896675,0.0,0.09259815604616421,False,2.8436556703484065e-47,0.1523104128215516,9.699772099607374,9.670269509269188,low,721
ENSUSD,ENS/USD,15.238210818307905,15.23,0.0922797073185739,15.09,15.49,0.40000000000000036,0.0005808144432129532,0.0,0.0807771415142749,False,8.776342695122139e-46,0.1328665741945274,15.258457306990731,15.217964329625081,low,721
FILUSD,FIL/USD,1.5553467406380028,1.555,0.009482829134260648,1.536,1.577,0.040999999999999925,0.0003992374020675279,0.0,0.08960001747912166,False,1.3357118897993225e-41,0.14737891372544856,1.5576389937690194,1.5530544875069863,low,721
INJUSD,INJ/USD,8.436228848821083,8.438,0.08005667471603865,8.253,8.631,0.3780000000000001,0.0009296250770772308,0.0,0.11354404590889333,False,1.4031377178275794e-37,0.18676333573198767,8.451984631229125,8.42047306641304,low,721
NEARUSD,NEAR/USD,2.194882108183079,2.194,0.018768434611645537,2.158,2.24,0.0820000000000003,0.0012771961741111803,0.0,0.12004665080179833,False,8.728165441910002e-38,0.19745916897471483,2.199216104153872,2.1905481122122863,low,721
BONKUSD,BONK/USD,1.441013730929265e-05,1.4429e-05,1.78176049824558e-07,1.3958e-05,1.4804e-05,8.46e-07,0.00414267614026543,0.0,0.13849343438013068,False,8.119445915682033e-37,0.22780142784912366,1.4442963807838238e-05,1.4377310810747061e-05,low,721
DOGSUSD,DOGE/USD,6.0028710124826626e-05,6e-05,6.56247434297724e-07,5.79e-05,6.44e-05,6.499999999999995e-06,-0.008795776881935967,0.0,0.28127488718022153,False,1.766539947557745e-44,0.46265601834875353,6.030643656495627e-05,5.975098368469699e-05,low,721
MEMEUSD,MEME/USD,0.0016281400832177531,0.001636,2.1178371160055398e-05,0.001579,0.001657,7.799999999999994e-05,0.0025725426992744887,0.0,0.13965571945067357,False,3.996373805136077e-48,0.2297132166629577,0.0016318801361746918,0.0016244000302608147,low,721
MEWUSD,MEW/USD,0.001846743411927878,0.001846,1.4820946663733947e-05,0.001805,0.001876,7.10000000000001e-05,0.0022538328044808594,0.0,0.11345502966162078,False,2.3491802133121236e-47,0.18661691703480382,0.0018501897475487613,0.0018432970763069948,low,721
PEPEUSD,PEPE/USD,6.9041539528432735e-06,6.909e-06,4.6338367700631014e-08,6.781e-06,7.022e-06,2.409999999999999e-07,0.002079751637529658,0.0,0.11255788818155232,False,2.672415704674703e-29,0.1851412506174246,6.916936389816119e-06,6.891371515870427e-06,low,721
PONKEUSD,PONKE/USD,0.060609084604715674,0.06046,0.0007819757702973282,0.05846,0.06152,0.0030600000000000002,0.0021316963147671028,0.0,0.16787276109436194,False,2.0542446399825884e-49,0.27612611995241926,0.06077644211837336,0.06044172709105799,low,721
POPCATUSD,POPCAT/USD,0.14919542302357836,0.1495,0.0015045739965452976,0.145,0.1525,0.007500000000000007,0.003075875296431421,0.0,0.13195625934444466,False,7.244405310878442e-45,0.2170487317816589,0.1495192497971273,0.1488715962500294,low,721
