Pair,Pair_Name,Mean,Median,StdDev,Min,Max,Range,Pct_Mean,Pct_Median,Pct_StdDev,Normal_Distribution,Normality_PValue,Best_Fit_Distribution,Distribution_DF,Distribution_Type,Fit_Quality,Fit_PValue,Threshold_95_Pct,Threshold_Price_Up,Threshold_Price_Down,Confidence,Data_Points
XBTUSDT,BTC/USDT,110718.61345353676,110764.6,733.3110484488046,108113.3,111886.5,3773.199999999997,-0.0028097112969907283,0.0,0.09893865092634051,False,2.8738874462845237e-34,normal,,normal,poor,1.4636624153942872e-28,6.175533573350224,117556.07859930779,103881.14830776575,low,721
XXBTZEUR,BTC/EUR,95376.81276005547,95429.7,653.9388686203857,92987.8,96357.4,3369.5999999999913,-0.0023666429285882514,0.0,0.09220984814002985,False,3.691747403902783e-28,normal,,normal,poor,7.549265051178781e-13,5.755536462754378,100866.25999547343,89887.36552463751,low,721
XETHZUSD,ETH/USD,3930.277919556172,3932.48,31.066670709927635,3841.41,4018.97,177.55999999999995,-0.0034156090261419966,0.0,0.15845523021926336,False,7.772287633711014e-35,normal,,normal,poor,3.395926699755956e-15,9.890427905880017,4318.999223690596,3541.5566154217477,low,721
SOLUSD,SOL/USD,195.0648404993065,195.31,1.683353385465312,189.9,198.51,8.609999999999985,-0.002023935675436505,0.0,0.1775352723041845,False,5.686223946166138e-31,normal,,normal,poor,2.1811655735789441e-10,11.08136228160836,216.68068215907618,173.44899883953684,low,721
XLTCZUSD,LTC/USD,98.89622746185853,99.09,0.8107687869960339,95.87,99.9,4.030000000000001,-0.002637885132378736,0.0,0.1556854378667414,False,2.1656963425273946e-32,normal,,normal,poor,1.873228176784561e-13,9.717543542650295,108.5065114275031,89.28594349621395,low,721
XXRPZUSD,XRP/USD,2.5834179611650487,2.58247,0.033473261487153884,2.49044,2.6583,0.16786000000000012,-0.005756932749218613,-0.000389472443939471,0.16316580832852812,False,1.31794368080054e-31,normal,,normal,poor,2.720395029572101e-13,10.184451859019532,2.846524919737167,2.3203110025929305,low,721
XXMRZUSD,XMR/USD,338.01829403606104,339.32,5.009220637105186,324.44,345.0,20.560000000000002,-0.004083406815381516,0.0,0.14939726923892954,False,8.398436537578819e-28,normal,,normal,poor,2.9848308664959736e-20,9.325049849716777,369.538668456086,306.4979196160361,low,721
AAVEUSD,AAVE/USD,229.8021220527046,229.84,2.927203978120912,220.4,235.19,14.789999999999992,-0.0018679085032497615,0.0,0.19400480883411403,False,3.999639454158686e-35,student_t,2,fat_tails,poor,5.471757251765182e-55,21.496831278948907,279.2022965058187,180.40194759959044,low,721
ATOMUSD,ATOM/USD,3.1153988904299585,3.1137,0.03228940656848501,3.0098,3.1764,0.1666000000000003,-0.0026104367055173787,0.0,0.14770193181661193,False,4.107164383055613e-37,normal,,normal,poor,1.215533874401326e-54,9.219230606461943,3.4026146984498533,2.8281830824100638,low,721
COMPUSD,COMP/USD,36.92604715672677,36.95,0.3761918733185664,35.64,37.42,1.7800000000000011,-0.0008014106701933708,0.0,0.1536245483837773,False,1.0952959485005021e-43,student_t,2,fat_tails,poor,1.3748372053212083e-119,17.022469786996734,43.211772377512744,30.64032193594079,low,721
DYDXUSD,DYDX/USD,0.339953120665742,0.3401,0.003928470772327406,0.3251,0.3461,0.02100000000000002,0.0017777226023179718,0.0,0.2529349301016172,False,1.0176175801834014e-45,student_t,2,fat_tails,poor,2.917034058540044e-128,28.02662237922372,0.4352304980611163,0.24467574327036776,low,721
EGLDUSD,EGLD/USD,9.724452149791956,9.73,0.12563067897151634,9.4,9.94,0.5399999999999991,-0.003271009211841757,0.0,0.26817115458867063,False,4.047436841072201e-45,normal,,normal,poor,1.4538569642633477e-130,16.738655248082868,11.352194669910414,8.096709629673498,low,721
