id,pair,threshold_price,threshold_type,direction,volume,trailing_offset_percent,enabled,linked_order_id,order_id,trigger_time,trigger_price
fil_usd_sell_202511100517_1,FILUSD,3.316121,above,sell,0.700000,10.00,true,fil_usd_buy_202511100517_2,,,
fil_usd_buy_202511100517_2,FILUSD,2.210747,below,buy,0.700000,10.00,false,,,,
inj_usd_sell_202511100517_3,INJUSD,9.144095,above,sell,0.154639,10.00,true,inj_usd_buy_202511100517_4,,,
inj_usd_buy_202511100517_4,INJUSD,6.096063,below,buy,0.154639,10.00,false,,,,
near_usd_sell_202511100517_5,NEARUSD,3.544545,above,sell,0.700000,10.00,true,near_usd_buy_202511100517_6,,,
near_usd_buy_202511100517_6,NEARUSD,2.363030,below,buy,0.700000,10.00,false,,,,
nano_usd_sell_202511100517_7,NANOUSD,1.371390,above,sell,3.1000,10.00,true,nano_usd_buy_202511100517_8,,,
nano_usd_buy_202511100517_8,NANOUSD,0.914260,below,buy,3.1000,10.00,false,,,,
ray_usd_sell_202511100517_9,RAYUSD,1.828757,above,sell,0.850000,10.00,true,ray_usd_buy_202511100517_10,,,
ray_usd_buy_202511100517_10,RAYUSD,1.219171,below,buy,0.850000,10.00,false,,,,
super_usd_sell_202511100517_11,SUPERUSD,0.388080,above,sell,3.5000,10.00,true,super_usd_buy_202511100517_12,,,
super_usd_buy_202511100517_12,SUPERUSD,0.258720,below,buy,3.5000,10.00,false,,,,
