Pair,Pair_Name,Mean,Median,StdDev,Min,Max,Range,Pct_Mean,Pct_Median,Pct_StdDev,Normal_Distribution,Normality_PValue,Best_Fit_Distribution,Distribution_DF,Distribution_Type,Fit_Quality,Fit_PValue,Threshold_95_Pct,Threshold_Price_Up,Threshold_Price_Down,Confidence,Data_Points
XXBTZUSD,BTC/USD,110995.59098474341,111053.2,515.1236408370013,109289.0,112348.6,3059.600000000006,-0.00187117415022168,0.0,0.08568197011419983,False,2.5630801212172986e-35,normal,,normal,poor,1.602331376316169e-23,5.348080634988327,116931.72469188932,105059.4572775975,low,721
XXBTZEUR,BTC/EUR,95559.49251040223,95501.2,399.7040758131016,94425.0,96490.8,2065.800000000003,-0.0014520202254639223,0.0,0.08215357449787121,False,1.0681539710506378e-28,normal,,normal,poor,1.6423500333340808e-11,5.127845919993866,100459.63604826372,90659.34897254073,low,721
XBTUSDT,BTC/USDT,110984.24008321775,111050.1,514.1185866655604,109400.0,112320.0,2920.0,-0.0018567085747944955,0.0,0.08876087006820492,False,3.50597804038885e-35,normal,,normal,poor,1.2657043944347537e-25,5.5402588166890325,117133.05422956354,104835.42593687195,low,721
XETHZUSD,ETH/USD,3939.7991262135924,3940.3,27.731206547796447,3855.61,4018.97,163.35999999999967,-0.0011321011707242667,0.0,0.15059838472893058,False,8.464833014857766e-36,normal,,normal,poor,3.8540823314978245e-15,9.400020844009944,4310.141065289792,3569.457187137393,low,721
SOLUSD,SOL/USD,195.38922330097088,195.49,1.510760553978131,189.9,199.56,9.659999999999997,-0.0012702386359906626,0.0,0.17040676374496908,False,4.315303456261287e-31,normal,,normal,poor,4.5379236765715645e-10,10.636416413404397,216.17163471817872,174.60681188376304,low,721
XLTCZUSD,LTC/USD,99.03364771151179,99.08,0.5040826466060289,96.3,99.9,3.6000000000000085,0.0005435365858438623,0.0,0.1470297557208893,False,2.1057452144123187e-33,normal,,normal,poor,5.330449174477214e-14,9.177274848954909,108.12223775494299,89.94505766808061,low,721
XXRPZUSD,XRP/USD,2.596977600554785,2.59404,0.029116079886974254,2.5311,2.6583,0.1272000000000002,-0.003169337515635365,-0.00038479077436674665,0.1553337192237024,False,1.48763192455141e-32,normal,,normal,poor,5.882064861559682e-13,9.695590036430794,2.848769902042514,2.345185299067056,low,721
XXMRZUSD,XMR/USD,339.4327323162275,339.53,3.1625950397087386,332.99,345.0,12.009999999999991,-0.0034163285914474138,0.0,0.14161531112298512,False,7.350479176512215e-25,normal,,normal,poor,8.308682924111713e-17,8.839317093493944,369.43626784476936,309.4291967876856,low,721
AAVEUSD,AAVE/USD,230.14926490984743,229.84,2.3411532979383316,222.62,235.19,12.569999999999993,0.00037078217370535013,0.0,0.18145514363405701,False,4.0785444254644805e-36,normal,,normal,poor,3.4449293092299844e-58,11.326032051957895,256.21604442088227,204.08248539881262,low,721
ATOMUSD,ATOM/USD,3.119923439667129,3.1137,0.024066242317058326,3.0409,3.1764,0.13549999999999995,5.879889539017885e-05,0.0,0.14053034987354648,False,4.775546422141647e-38,normal,,normal,poor,7.601317567191361e-54,8.77159619211759,3.3935905252979546,2.846256354036303,low,721
COMPUSD,COMP/USD,36.87908460471567,36.95,0.43129197998428737,35.64,37.42,1.7800000000000011,0.003619092195806627,0.0,0.1458906105144256,False,5.942081394561858e-45,student_t,3,fat_tails,poor,6.936710712950293e-124,13.028595151784977,41.68391123354834,32.074257975883,low,721
DYDXUSD,DYDX/USD,0.3384840499306519,0.3395,0.004964309644043963,0.3251,0.3461,0.02100000000000002,0.005633635970990038,0.0,0.22189649487462826,False,2.882685901878482e-46,student_t,2,fat_tails,poor,7.54041844358517e-135,24.587388015668918,0.42170843665825175,0.255259663203052,low,721
EGLDUSD,EGLD/USD,9.737059639389736,9.75,0.10523760441328732,9.52,9.94,0.41999999999999993,-0.0002542021993075089,0.0,0.2519264621808071,False,7.06803062058603e-45,normal,,normal,poor,6.818783429788092e-130,15.724697179984727,11.268182781918284,8.205936496861188,low,721
ENSUSD,ENS/USD,15.682801664355063,15.66,0.15518958225883114,15.25,16.0,0.75,-0.0007456643669728455,0.0,0.16628027467209502,False,1.0345372965623723e-45,normal,,normal,poor,8.104266775537343e-137,10.378850016743414,17.310496127521816,14.055107201188312,low,721
FILUSD,FIL/USD,1.607239944521498,1.606,0.012925184804061414,1.544,1.639,0.09499999999999997,-0.0015145641718093661,0.0,0.20494502073998097,False,1.2197454351628578e-39,student_t,2,fat_tails,poor,1.563489741229327e-82,22.70906870187517,1.9722291677268653,1.2422507213161307,low,721
INJUSD,INJ/USD,8.586302357836338,8.59,0.09092474059773956,8.253,8.814,0.5609999999999999,0.00032526442135810305,0.0,0.2207199776535316,False,5.7136698773668695e-40,student_t,2,fat_tails,poor,1.1703725513736806e-72,24.457023246101176,10.686256321472905,6.486348394199772,low,721
NEARUSD,NEAR/USD,2.300127600554785,2.3,0.020136970585804503,2.236,2.345,0.10899999999999999,0.0003179013166226404,0.0,0.1981801999933703,False,1.1446810357031382e-40,student_t,2,fat_tails,poor,7.097526585935114e-85,21.959488260564733,2.805223850976622,1.7950313501329476,low,721
BONKUSD,BONK/USD,1.4697968099861303e-05,1.4628e-05,2.4114197139829623e-07,1.4217e-05,1.5208e-05,9.910000000000012e-07,-0.002175505232997042,0.0,0.24622076507742102,False,7.87755998418111e-37,normal,,normal,poor,6.085313120815244e-54,15.368560081980826,1.6956834158118862e-05,1.2439102041603744e-05,low,721
DOGSUSD,DOGE/USD,5.634424410540915e-05,5.63e-05,6.490576641877817e-07,5.41e-05,5.74e-05,3.299999999999999e-06,0.0010108091727065842,0.0,0.232890135720723,False,7.4605745555370545e-47,student_t,2,fat_tails,poor,3.2162903156097155e-145,25.805545667688435,7.088418374914437e-05,4.1804304461673946e-05,low,721
MEMEUSD,MEME/USD,0.0016212163661581138,0.001622,2.3317382848166385e-05,0.001552,0.001686,0.000134,0.0028358626177708945,0.0,0.23219682232526614,False,1.312704832335184e-46,student_t,2,fat_tails,poor,4.7451252347940255e-147,25.72872261791385,0.0020383346280431576,0.00120409810427307,low,721
